NODE_ID	POS	EPC
1	0	NOTAG,E2009A3030033AF000000811
2	353630	E2009A3030033AF000000043
3	572830	E2009A3030033AF000000958
10	975000	NOTAG,E2009A3030033AF000000036
7	1105000	NONE
18	1175000	NONE,R_END
17	600000	NONE,R_START
4	845000	NONE
5	-185820	E2009A3030033AF000000913
6	-387671	NONE
8	-408259	NOTAG
9	-638825	E2009A3030033AF000000706
11	-1443593	E2009A3030033AF000000212
12	-1592959	NOTAG,R_END
13	-3887931	E2009A3030033AF000000481,R_START
14	-4647723	E2009A3030033AF000000799
15	-5133042	E2009A3030033AF000000246
16	-5991423	E2009A3030033AF000000204
