TABLE_ID	NODE_ID	SERVING_DISTANCE	SERVING_ANGLE	MARKER_ANGLE	HEIGHT_LIFT	MARKER_VALUE
104	3	271	301	28	880000	104
105	3	304	87	353	880000	105
102	4	892	270	65	890000	-1
103	3	895	336	63	880000	103
106	3	904	17	284	880000	106
118	8	724	71	69	880000	118
119	8	338	351	348	880000	119
122	8	204	187	1	880000	122
120	8	906	288	285	880000	120
123	8	836	102	282	880000	123
121	8	925	255	73	880000	121
132	11	800	107	109	880000	-1
133	11	800	107	109	880000	-1
134	9	847	107	109	880000	134
135	9	268	177	177	880000	135
136	9	902	250	249	880000	136
H1	1	0	0	0	0	1
P1	2	280	270	0	1131241	1
