TABLE_ID	NODE_ID	SERVING_DISTANCE	SERVING_ANGLE	MARKER_ANGLE	HEIGHT_LIFT	MARKER_VALUE
3	22	1404	0	336	1500000	-1
4	16	892	-24	65	199976	-1
5	14	624	270	96	350000	-1
6	15	780	182	144	450000	-1
7	18	936	332	192	550000	-1
8	20	1092	111	240	666666	-1
9	21	1248	55	288	999999	-1
10	22	1404	166	336	1500000	-1
11	23	1076	270	180	1300416	-1
12	23	1700	0	0	0	-1
13	23	1076	90	180	999998	-1
14	24	1221	106	180	1301383	-1
15	25	1221	114	200	1301383	-1
16	26	1221	98	246	1301383	-1
17	13	1127	90	0	-1	-1
100	13	1284	-128	14	1131241	-1
101	19	418	270	0	950496	-1
102	19	585	90	0	897769	-1
103	12	736	105	105	929059	-1
104	17	430	-90	0	890203	-1
1	17	453	278	11	895684	-1
2	16	364	104	11	199997	-1
200	10	1585	93	0	13	-1
105	16	362	88	-5	843980	-1
119	11	379	180	-180	199999	-1
120	11	946	249	-472	199999	-1
118	12	862	110	-251	199999	-1
