pulseV	distanceSTD	distanceLD	timestampLD
575520	0.0036	1350	17:51.0
570000	0.0036	1323	17:51.0
550000	0.0036	1286	17:51.0
547292	0.0036	1267	17:51.0
530000	0.0036	1240	17:51.0
517025	0.0036	1196	17:51.0
510000	0.0036	1185	17:51.0
490000	0.0036	1153	17:51.0
482427	0.0036	1116	17:51.0
470000	0.0036	1097	17:51.0
450000	0.0036	1046	17:51.0
438907	0.0036	1017	17:51.0
430000	0.0036	997	17:51.0
425725	0.0036	977	17:51.0
410000	0.0036	946	17:51.0
390000	0.0036	900	17:51.0
370000	0.0036	845	17:51.0
350000	0.0036	795	17:51.0
330000	0.0036	750	17:51.0
310000	0.0036	696	17:51.0
290000	0.0035	640	18:22.4
270000	0.0035	587	18:22.4
250000	0.002	537	18:22.5
230000	0.002	486	18:22.5
210000	0.002	435	18:22.5
190000	0.002	384	18:22.5
170000	0.002	340	18:22.5
150000	0.002	300	18:22.5
140000	0.0025	277	18:22.6
130000	0.0025	260	18:22.6
120000	0.0025	237	18:22.6
110000	0.0025	214	18:22.6
100000	0.0025	193	18:22.6
90000	0.0025	168	18:22.6
80000	0.0025	153	18:22.6
70000	0.002	130	18:22.7
60000	0.001	111	18:22.8
50000	0.001	97	18:22.9
40000	0.001	91	18:22.9
30000	0.001	86	18:22.9
20000	0.001	85	18:22.9
10000	0.001	84	18:22.9
0	0.001	83	18:22.9
