pulseV	distanceSTD	distanceLD	timestampLD
543204	0.0036	0.2002	14:17:50.991
539728	0.0039	0.2017	14:17:51.203
536042	0.0034	0.2024	14:17:51.422
534363	0.0038	0.1969	14:17:51.517
532670	0.0046	0.1985	14:17:51.622
530823	0.0926	0.131	14:17:51.728
529128	0.0848	0.1467	14:17:51.836
527279	0.0051	0.1975	14:17:51.942
525611	0.005	0.1979	14:17:52.050
523645	0.0828	0.1654	14:17:52.160
521794	0.0028	0.2079	14:17:52.266
520443	0.0066	0.1968	14:17:52.371
516573	0.0095	0.2073	14:17:52.579
514566	0.0777	0.1733	14:17:52.699
513039	0.0048	0.2207	14:17:52.792
510848	0.001	0.2195	14:17:52.915
508989	0.0053	0.2213	14:17:53.025
507196	0.0039	0.2295	14:17:53.131
505528	0.0031	0.2371	14:17:53.236
503666	0.0042	0.2402	14:17:53.343
500131	0.0038	0.245	14:17:53.555
498277	0.0041	0.2471	14:17:53.665
496261	0.0013	0.2507	14:17:53.784
494418	0.0034	0.2531	14:17:53.890
492723	0.0044	0.2564	14:17:53.995
490697	0.0077	0.2691	14:17:54.118
488896	0.0055	0.2719	14:17:54.224
484978	0.0057	0.2835	14:17:54.450
483696	0.0005	0.286	14:17:54.530
481158	0.0033	0.2846	14:17:54.683
479302	0.0016	0.2933	14:17:54.790
477288	0.0032	0.2885	14:17:54.909
475615	0.0064	0.2914	14:17:55.015
473457	0.0061	0.296	14:17:55.135
471421	0.0059	0.3082	14:17:55.254
469600	0.0024	0.3035	14:17:55.373
467725	0.0033	0.3105	14:17:55.479
465740	0.0044	0.3153	14:17:55.598
463880	0.0011	0.3199	14:17:55.712
461693	0.0032	0.3241	14:17:55.833
460006	0.0029	0.3316	14:17:55.939
457976	0.0047	0.3282	14:17:56.057
456018	0.0016	0.3416	14:17:56.176
454005	0.0031	0.3474	14:17:56.294
452145	0.0041	0.3534	14:17:56.401
450120	0.0048	0.3599	14:17:56.520
448430	0.0003	0.3694	14:17:56.626
446417	0.0052	0.3619	14:17:56.745
444577	0.0031	0.3803	14:17:56.851
442545	0.0041	0.3807	14:17:56.971
440857	0.0029	0.3831	14:17:57.078
438719	0.0018	0.3927	14:17:57.198
437041	0.0059	0.4011	14:17:57.305
435208	0.0034	0.403	14:17:57.412
433182	0.0014	0.4107	14:17:57.531
431322	0.0025	0.4171	14:17:57.636
429633	0.0067	0.4252	14:17:57.742
427607	0.0062	0.4362	14:17:57.857
425772	0.0067	0.4359	14:17:57.974
423918	0.0053	0.4348	14:17:58.081
422101	0.0044	0.4414	14:17:58.187
420308	0.006	0.4553	14:17:58.293
418574	0.0058	0.4598	14:17:58.398
