TAG_ID	TAG_TYPE	TAG_DIRECTION	LINK_ID	TAG_X	TAG_Y
E2009A3030033AF000000821	D	-1	1_10	0	-4500
103619802C6DB64000000036	S	1	1_10	0	-500
303619802C6DB64000000033	P	0	10	0	0
303619802C6DB64000000034	S	-1	10_11	0	500
103619802C6DB64000000035	S	1	10_11	0	7000
103619802C6DB64000000036	P	0	11	0	7500
303619802C6DB64000000041	D	-1	4_10	-7500	0
303619802C6DB64000000038	S	1	4_10	-500	0
303619802C6DB64000000039	S	-1	5_10	500	0
303619802C6DB64000000040	D	1	5_10	7500	0
103619802C6DB64000000041	D	-1	6_11	-6000	7500
303619802C6DB64000000036	S	1	6_11	-500	7500
303619802C6DB64000000035	S	-1	7_11	500	7500
303619802C6DB64000000042	D	1	7_11	6000	7500
