TABLE_ID	NODE_ID	SERVING_DISTANCE	SERVING_ANGLE	MARKER_ANGLE
1	5	400	90	270
2	5	800	270	90
3	5	400	270	270
4	5	800	90	270
5	6	500	45	270
6	6	1000	135	90
7	6	1400	225	270
8	6	1700	315	270
9	7	400	90	270
10	7	800	270	90
11	7	400	270	270
12	7	800	90	270
13	8	400	90	270
14	8	800	270	90
15	8	400	270	270
16	8	800	90	270
17	9	400	90	270
18	9	800	270	90
19	9	400	270	270
20	9	800	90	270
21	4	400	90	270
22	4	800	270	90
23	4	400	270	270
24	4	800	90	270
25	11	400	90	270
26	11	800	270	90
27	11	400	270	270
28	11	800	90	270
29	12	400	90	270
30	12	800	270	90
31	12	400	270	270
32	12	800	90	270
33	13	400	90	270
34	13	800	270	90
35	13	400	270	270
36	13	800	90	270
37	14	400	90	270
38	14	800	270	90
39	14	400	270	270
40	14	800	90	270
41	15	500	45	270
42	15	1000	135	90
43	15	1400	225	270
44	15	1700	315	270
45	16	400	90	270
46	16	800	270	90
47	16	400	270	270
48	16	800	90	270
49	17	400	90	270
50	17	800	270	90
51	17	400	270	270
52	17	800	90	270
53	18	400	90	270
54	18	800	270	90
55	18	400	270	270
56	18	800	90	270
57	3	400	90	270
58	3	800	270	90
59	3	400	270	270
60	3	800	90	270
H1	1	600	45	180
P1	2	0	0	0
