DIFF_X	DIFF_Y	ANGLE	CAM_ID	MARKER_VALUE	X	Y	Z	LASTSEEN	CUR_POS	CUR_SPD	DISTANCE_FROM_HOME	DISTANCE_ARMEXTENDED	ANGLE_540	ANGLE_360
30.6	-8.03	0	0	101	836	-34	3829	1730179967.237243	4	0	0	1	0	181
30.59	-8.03	-1	0	101	835	-34	3828	1730179967.34062	479	43	1	1	0	181
30.59	-8.06	0	0	101	826	-34	3785	1730179967.438374	1339	69	3	1	0	181
30.6	-8.06	0	0	101	826	-34	3784	1730179967.539949	2846	98	7	1	0	181
30.59	-8.06	0	0	101	826	-34	3785	1730179967.638638	4928	133	12	1	0	181
30.57	-8.06	0	0	101	825	-34	3783	1730179967.746467	8012	187	19	1	0	181
30.6	-8.06	0	0	101	826	-34	3784	1730179967.838981	10813	203	25	1	0	181
30.6	-8.03	0	0	101	836	-34	3829	1730179967.947428	15107	252	36	1	0	181
30.57	-8.01	0	0	101	825	-33	3783	1730179968.041469	19319	267	45	1	0	181
30.55	-8.08	1	0	101	829	-34	3804	1730179968.139988	22085	284	52	1	0	181
30.48	-8.03	0	0	101	823	-34	3784	1730179968.241672	29224	328	69	1	0	181
30.16	-8.08	-1	0	101	817	-34	3791	1730179968.343935	35015	373	82	1	0	181
14.45	-8.94	-1	0	101	504	-58	4173	1730179970.430353	205909	498	484	1	0	181
13.59	-9.17	1	0	101	477	-61	4131	1730179970.541029	214961	503	505	1	0	181
13.03	-9.05	0	0	101	456	-59	4074	1730179970.629416	222341	500	523	1	0	181
12.16	-8.84	1	0	101	423	-55	3968	1730179970.732036	231337	497	544	1	0	181
11.24	-8.82	1	0	101	395	-54	3912	1730179970.835169	239467	506	563	1	0	181
10.34	-8.96	0	0	101	386	-58	4042	1730179970.935285	247560	495	582	1	0	181
42.68	-14.86	0	0	100	1045	-106	3619	1730179971.029753	255605	500	601	1	0	181
9.49	-9.05	0	0	101	361	-59	4007	1730179971.033637	256610	502	603	1	0	181
8.67	-9.1	1	0	101	334	-59	3932	1730179971.135528	264589	494	622	1	0	181
7.85	-8.96	0	0	101	325	-59	4067	1730179971.228997	272017	498	639	1	0	181
40.08	-14.77	0	0	100	995	-108	3640	1730179971.330363	280066	505	658	1	0	181
6.97	-8.87	0	0	101	306	-59	4107	1730179971.331201	281075	507	661	1	0	181
39.23	-14.65	-1	0	100	983	-107	3660	1730179971.432133	289198	504	680	1	0	181
5.22	-9.07	1	0	101	261	-62	4105	1730179971.540893	298216	498	701	1	0	181
4.39	-9.19	1	0	101	230	-61	3953	1730179971.636009	305749	493	719	1	0	181
3.62	-8.96	0	0	101	214	-59	4003	1730179971.738263	314717	504	740	1	0	181
2.72	-8.87	0	0	101	183	-55	3817	1730179971.840275	322752	498	758	1	0	181
34.95	-14.77	0	0	100	904	-114	3715	1730179971.936595	330824	510	777	1	0	181
1.9	-8.96	0	0	101	171	-59	4014	1730179971.94203	331826	501	780	1	0	181
33.92	-14.95	0	0	100	871	-115	3671	1730179972.043592	339858	500	799	1	0	181
0.94	-9.05	0	0	101	144	-59	3929	1730179972.050007	340857	503	801	1	0	181
0.16	-9.05	0	0	101	125	-60	3930	1730179972.145837	348901	509	820	1	0	181
-0.72	-8.91	2	0	101	104	-58	3969	1730179972.244785	357370	497	840	1	0	181
-1.55	-8.89	1	0	101	84	-58	3970	1730179972.345689	365388	491	859	1	0	181
-2.45	-8.96	0	0	101	62	-60	4012	1730179972.444333	373411	501	878	1	0	181
29.67	-14.75	0	0	100	791	-117	3727	1730179972.54021	381478	496	896	1	0	181
-3.26	-9.03	1	0	101	41	-59	3931	1730179972.545894	382486	502	899	1	0	181
-4.19	-9.0	2	0	101	18	-60	4012	1730179972.646666	389986	500	916	1	0	181
-5.08	-9.05	1	0	101	-4	-60	3925	1730179972.743017	398036	494	935	1	0	181
-5.86	-8.96	1	0	101	-24	-60	3999	1730179972.845078	407077	503	957	1	0	181
-6.73	-9.03	1	0	101	-44	-59	3882	1730179972.942176	415070	504	975	1	0	181
25.39	-14.65	1	0	100	706	-120	3781	1730179973.038777	423102	506	994	1	0	181
-7.54	-9.05	1	0	101	-63	-58	3797	1730179973.045877	424109	500	997	1	0	181
-8.49	-9.03	1	0	101	-88	-59	3913	1730179973.149726	432163	499	1016	1	0	181
-9.3	-9.05	1	0	101	-107	-59	3897	1730179973.251034	440652	504	1036	1	0	181
-10.16	-9.05	1	0	101	-126	-58	3830	1730179973.337257	447648	493	1052	1	0	181
21.82	-14.63	0	0	100	628	-123	3800	1730179973.446831	456646	497	1073	1	0	181
-10.96	-9.07	1	0	101	-145	-58	3824	1730179973.448443	457626	490	1075	1	0	181
-11.85	-9.05	1	0	101	-166	-58	3828	1730179973.538517	464656	505	1092	1	0	181
-12.73	-8.91	1	0	101	-190	-57	3893	1730179973.63377	472195	497	1110	1	0	181
-13.57	-9.03	0	0	101	-210	-58	3890	1730179973.732095	481276	503	1131	1	0	181
-14.45	-9.14	1	0	101	-236	-60	3959	1730179973.836688	489284	499	1150	1	0	181
-15.21	-9.14	1	0	101	-253	-60	3942	1730179973.938909	498335	497	1171	1	0	181
-16.15	-8.98	0	0	101	-276	-58	3949	1730179974.031834	506275	497	1190	1	0	181
-16.85	-8.96	1	0	101	-285	-56	3838	1730179974.137754	514350	499	1209	1	0	181
-17.83	-8.96	2	0	101	-316	-57	3938	1730179974.248734	523835	504	1231	1	0	181
-18.61	-9.07	0	0	101	-321	-56	3783	1730179974.34205	531882	493	1250	1	0	181
13.18	-14.42	0	0	100	438	-127	3885	1730179974.440184	539909	497	1269	1	0	181
-19.47	-9.1	0	0	101	-347	-57	3845	1730179974.445661	540958	507	1271	1	0	181
-20.27	-8.96	1	0	101	-366	-55	3843	1730179974.559399	549948	498	1292	1	0	181
11.47	-14.17	-1	0	100	409	-128	4007	1730179974.658986	557547	502	1310	1	0	181
-21.13	-8.87	1	0	101	-384	-53	3823	1730179974.660578	558554	502	1313	1	0	181
-22.02	-8.87	2	0	101	-392	-51	3714	1730179974.762012	566601	505	1332	1	0	181
9.78	-14.19	-1	0	100	366	-128	3992	1730179974.861817	574646	499	1350	1	0	181
-22.81	-9.05	1	0	101	-417	-54	3771	1730179974.867208	575628	491	1353	1	0	181
-23.78	-9.05	1	0	101	-426	-52	3665	1730179974.958028	582647	503	1369	1	0	181
8.06	-14.17	0	0	100	319	-127	3933	1730179975.053448	590680	503	1388	1	0	181
-24.54	-9.05	2	0	101	-450	-53	3722	1730179975.058875	591662	493	1390	1	0	181
-25.51	-8.77	1	0	101	-464	-48	3667	1730179975.163555	599712	504	1409	1	0	181
6.29	-14.05	-1	0	100	273	-125	3904	1730179975.257226	608199	501	1429	1	0	181
-27.33	-8.94	2	0	101	-506	-50	3684	1730179975.357818	616296	502	1448	1	0	181
-28.14	-9.05	2	0	101	-516	-50	3628	1730179975.453895	624293	491	1467	1	0	181
-29.01	-9.03	1	0	101	-531	-49	3602	1730179975.532668	631328	497	1484	1	0	181
3.63	-14.1	-1	0	100	215	-130	4030	1730179975.54217	632330	496	1486	1	0	181
-29.86	-8.87	2	0	101	-546	-47	3588	1730179975.64208	639758	493	1503	1	0	181
-30.73	-8.89	2	0	101	-566	-47	3594	1730179975.734998	647810	502	1522	1	0	181
-31.72	-8.84	2	0	101	-565	-44	3465	1730179975.835164	655816	497	1541	1	0	181
0.89	-14.03	0	0	100	140	-124	3865	1730179975.836882	656828	510	1544	1	0	181
-32.3	-8.98	2	0	101	-598	-47	3589	1730179975.931786	663886	495	1560	1	0	181
0.34	-14.07	0	0	100	129	-127	3942	1730179975.937583	664926	504	1563	1	0	181
-0.83	-14.0	0	0	100	100	-127	3942	1730179976.036214	672905	508	1581	1	0	181
-1.34	-13.98	0	0	100	87	-125	3901	1730179976.135277	680952	503	1600	1	0	181
-2.25	-13.94	0	0	100	63	-122	3824	1730179976.250723	685921	494	1612	1	0	181
-3.06	-13.98	0	0	100	44	-122	3819	1730179976.33276	697462	493	1639	1	0	181
-36.68	-8.75	2	0	101	-674	-41	3515	1730179976.433585	705553	504	1658	1	0	181
-4.05	-13.91	0	0	100	20	-122	3824	1730179976.443208	706567	508	1660	1	0	181
-4.87	-13.89	0	0	100	1	-122	3857	1730179976.537401	714571	498	1679	1	0	181
46.42	-12.96	1	0	102	987	-71	3175	1730179976.632622	722075	500	1697	1	0	181
-5.81	-13.89	0	0	100	-22	-122	3860	1730179976.63912	723117	506	1699	1	0	181
-6.67	-13.87	1	0	100	-42	-120	3782	1730179976.734759	731078	504	1718	1	0	181
44.79	-12.89	0	0	102	965	-72	3202	1730179976.831196	739137	504	1737	1	0	181
-7.54	-13.77	1	0	100	-63	-120	3819	1730179976.83653	740140	499	1739	1	0	181
-8.41	-13.68	1	0	100	-84	-119	3853	1730179976.933789	747171	504	1756	1	0	181
-9.28	-13.7	0	0	100	-105	-120	3859	1730179977.03669	756258	497	1777	1	0	181
-10.22	-13.73	1	0	100	-126	-118	3808	1730179977.137394	764366	500	1796	1	0	181
-10.98	-13.8	0	0	100	-142	-117	3758	1730179977.236308	770368	495	1810	1	0	181
-11.93	-13.66	2	0	100	-171	-120	3900	1730179977.334258	779784	499	1832	1	0	181
39.79	-12.66	1	0	102	885	-74	3254	1730179977.430653	788783	504	1854	1	0	181
-12.7	-13.54	1	0	100	-185	-116	3812	1730179977.435991	789783	497	1856	1	0	181
-13.71	-13.43	0	0	100	-207	-113	3785	1730179977.544608	797921	503	1875	1	0	181
-14.57	-13.52	0	0	100	-225	-113	3741	1730179977.632021	804970	504	1892	1	0	181
-15.43	-13.66	1	0	100	-249	-117	3811	1730179977.735097	814504	500	1914	1	0	181
-16.25	-13.54	1	0	100	-271	-116	3853	1730179977.836948	822484	500	1933	1	0	181
-17.08	-13.33	2	0	100	-294	-115	3901	1730179977.938145	831471	493	1954	1	0	181
-18.02	-13.15	0	0	100	-315	-111	3875	1730179978.03848	839487	502	1973	1	0	181
33.74	-12.66	-1	0	102	810	-81	3425	1730179978.1356	847589	495	1992	1	0	181
32.8	-12.82	1	0	102	792	-84	3430	1730179978.234166	854626	504	2008	1	0	181
32.06	-12.73	1	0	102	783	-84	3460	1730179978.341616	864086	492	2031	1	0	181
31.16	-12.48	2	0	102	753	-80	3403	1730179978.441278	873067	502	2052	1	0	181
30.35	-12.45	1	0	102	758	-83	3502	1730179978.538764	881078	509	2071	1	0	181
29.39	-12.64	0	0	102	757	-88	3592	1730179978.64337	889213	505	2090	1	0	181
28.55	-12.8	1	0	102	716	-87	3480	1730179978.74112	897745	497	2110	1	0	181
-25.14	-13.24	1	0	100	-449	-102	3615	1730179978.832723	905784	489	2129	1	0	181
27.72	-12.73	1	0	102	727	-91	3620	1730179978.836847	906777	498	2131	1	0	181
26.85	-12.5	1	0	102	696	-87	3558	1730179978.938025	914792	504	2150	1	0	181
26.03	-12.45	0	0	102	696	-89	3652	1730179979.038589	922778	501	2169	1	0	181
25.1	-12.64	0	0	102	678	-92	3664	1730179979.138476	930868	511	2188	1	0	181
24.22	-12.78	1	0	102	651	-93	3618	1730179979.242606	938926	511	2206	1	0	181
-29.7	-13.06	1	0	100	-546	-98	3616	1730179979.334332	947446	503	2226	1	0	181
23.27	-12.64	1	0	102	653	-95	3749	1730179979.339941	948444	498	2229	1	0	181
-30.48	-12.96	1	0	100	-560	-95	3595	1730179979.441032	956413	497	2248	1	0	181
22.54	-12.55	1	0	102	606	-90	3567	1730179979.445381	957394	495	2250	1	0	181
-31.34	-12.96	1	0	100	-574	-94	3574	1730179979.53487	964355	494	2266	1	0	181
21.73	-12.52	1	0	102	628	-96	3807	1730179979.540222	965383	498	2269	1	0	181
20.89	-12.69	1	0	102	599	-97	3750	1730179979.651617	973383	506	2287	1	0	181
19.88	-12.69	1	0	102	576	-97	3746	1730179979.740201	981010	508	2305	1	0	181
18.96	-12.59	1	0	102	559	-98	3778	1730179979.841556	990036	501	2327	1	0	181
-35.04	-12.94	4	0	100	-649	-92	3562	1730179979.939151	998044	489	2345	1	0	181
18.18	-12.59	1	0	102	553	-100	3860	1730179979.943169	999031	497	2348	1	0	181
17.42	-12.64	0	0	102	536	-101	3864	1730179980.044988	1007083	502	2367	1	0	181
-36.77	-12.94	4	0	100	-675	-90	3517	1730179980.145256	1015025	505	2385	1	0	181
16.54	-12.64	0	0	102	517	-102	3878	1730179980.150541	1016030	496	2388	1	0	181
15.61	-12.59	1	0	102	484	-99	3790	1730179980.247694	1023168	513	2404	1	0	181
14.67	-12.59	1	0	102	463	-100	3799	1730179980.33973	1031653	504	2424	1	0	181
13.85	-12.64	0	0	102	458	-104	3916	1730179980.437196	1039719	495	2443	1	0	181
-40.4	-12.94	4	0	100	-744	-88	3498	1730179980.534326	1047666	490	2462	1	0	181
13.06	-12.69	2	0	102	436	-104	3892	1730179980.54583	1048663	496	2464	1	0	181
12.2	-12.69	2	0	102	416	-105	3901	1730179980.635244	1056619	498	2483	1	0	181
11.28	-12.59	1	0	102	383	-101	3790	1730179980.737195	1064150	501	2501	1	0	181
