DIFF_X	DIFF_Y	ANGLE	CAM_ID	MARKER_VALUE	X	Y	Z	LASTSEEN	CUR_POS	CUR_SPD	DISTANCE_FROM_HOME	DISTANCE_ARMEXTENDED	ANGLE_540	ANGLE_360
27.21	20.44	-4	0	97	920	404	4609	1730115240.081706	2999999	0	7050	0	0	178
27.2	20.46	-3	0	97	915	403	4588	1730115240.180089	2999846	-23	7050	0	0	178
27.19	20.46	-3	0	97	901	397	4521	1730115240.282251	2998866	-65	7047	0	0	178
27.2	20.46	-3	0	97	915	403	4588	1730115240.382311	2997454	-97	7044	0	0	178
27.2	20.46	-3	0	97	915	403	4588	1730115240.483637	2995437	-120	7039	0	0	178
27.2	20.46	-3	0	97	915	403	4588	1730115240.58372	2993012	-176	7034	0	0	178
27.2	20.46	-3	0	97	915	403	4588	1730115240.690919	2989425	-205	7025	0	0	178
27.21	20.44	-4	0	97	920	404	4609	1730115240.797087	2985271	-239	7015	0	0	178
27.2	20.46	-3	0	97	915	403	4588	1730115240.902869	2980623	-275	7004	0	0	178
27.17	20.46	-3	0	97	914	403	4589	1730115241.000757	2976655	-296	6995	0	0	178
27.07	20.49	-4	0	97	914	404	4603	1730115241.103806	2970853	-336	6982	0	0	178
26.77	20.56	-3	0	97	916	410	4652	1730115241.20658	2964679	-374	6967	0	0	178
26.35	20.56	-3	0	97	903	409	4646	1730115241.286984	2959146	-401	6954	0	0	178
25.99	20.58	-4	0	97	895	410	4658	1730115241.405657	2951120	-430	6935	0	0	178
25.59	20.6	-3	0	97	878	408	4629	1730115241.501253	2943823	-470	6918	0	0	178
25.1	20.56	-3	0	97	864	407	4628	1730115241.573707	2937012	-492	6902	0	0	178
24.79	20.49	-4	0	97	868	412	4694	1730115241.681886	2927897	-507	6881	0	0	178
23.96	20.44	-2	0	97	847	412	4710	1730115241.786756	2919827	-502	6862	0	0	178
23.35	20.46	-3	0	97	833	414	4728	1730115241.901371	2910889	-492	6841	0	0	178
22.92	20.49	-4	0	97	810	409	4666	1730115241.986031	2902937	-493	6822	0	0	178
22.3	20.51	-3	0	97	837	432	4929	1730115242.085367	2894939	-499	6803	0	0	178
21.52	20.44	-2	0	97	792	420	4799	1730115242.182595	2886841	-500	6784	0	0	178
20.56	20.3	-4	0	97	757	414	4756	1730115242.272604	2879299	-505	6766	0	0	178
20.1	20.25	-2	0	97	743	413	4752	1730115242.372265	2871254	-498	6747	0	0	178
19.27	20.3	-4	0	97	736	423	4864	1730115242.470908	2862833	-490	6728	0	0	178
18.79	20.39	-4	0	97	724	426	4882	1730115242.572569	2853864	-512	6707	0	0	178
18.09	20.39	-4	0	97	709	430	4924	1730115242.671399	2845720	-509	6687	0	0	178
17.34	20.25	-2	0	97	685	426	4911	1730115242.77157	2837643	-506	6668	0	0	178
16.64	20.14	-3	0	97	664	424	4914	1730115242.871054	2829688	-498	6650	0	0	178
16.0	20.16	-2	0	97	652	430	4970	1730115242.974398	2820689	-498	6629	0	0	178
15.31	20.32	-3	0	97	627	430	4939	1730115243.067698	2812691	-494	6610	0	0	178
14.6	20.37	-3	0	97	608	433	4965	1730115243.173414	2805531	-521	6593	0	0	178
13.83	20.23	-2	0	97	584	430	4960	1730115243.277973	2796014	-501	6571	0	0	178
13.18	20.21	-3	0	97	586	446	5153	1730115243.376426	2787049	-494	6550	0	0	178
45.74	19.61	5	0	98	1259	351	4061	1730115243.472982	2779644	-497	6532	0	0	178
12.55	20.25	-2	0	97	542	428	4932	1730115243.474724	2778650	-494	6530	0	0	178
11.88	20.32	-2	0	97	525	432	4973	1730115243.573813	2772612	-498	6516	0	0	178
11.09	20.32	-2	0	97	500	431	4963	1730115243.677722	2762520	-509	6492	0	0	178
43.46	19.54	-4	0	98	1253	363	4227	1730115243.77095	2754477	-496	6473	0	0	178
10.39	20.23	-2	0	97	481	432	4990	1730115243.776486	2753487	-499	6471	0	0	178
9.73	20.32	-2	0	97	464	437	5027	1730115243.884042	2745587	-499	6452	0	0	178
9.13	20.32	-2	0	97	447	439	5055	1730115243.979342	2737662	-493	6434	0	0	178
8.44	20.32	-2	0	97	421	434	5000	1730115244.07381	2729598	-512	6415	0	0	178
6.99	20.25	-1	0	97	370	427	4931	1730115244.276701	2711941	-499	6373	0	0	178
6.34	20.35	-1	0	97	352	431	4951	1730115244.379064	2704047	-497	6355	0	0	178
5.72	20.32	-2	0	97	332	430	4952	1730115244.47905	2695632	-503	6335	0	0	178
5.04	20.21	-1	0	97	311	427	4943	1730115244.580446	2688629	-498	6318	0	0	178
37.11	19.47	4	0	98	1106	363	4275	1730115244.674233	2679494	-506	6297	0	0	178
4.32	20.21	-1	0	97	286	424	4904	1730115244.678151	2678485	-502	6294	0	0	178
3.62	20.37	-2	0	97	264	427	4904	1730115244.775311	2670444	-498	6276	0	0	178
2.97	20.42	-2	0	97	243	426	4883	1730115244.875843	2662542	-487	6257	0	0	178
2.37	20.3	-1	0	97	226	426	4907	1730115244.977334	2654631	-494	6238	0	0	178
1.67	20.19	-2	0	97	204	424	4907	1730115245.068898	2646630	-499	6220	0	0	178
0.92	20.23	-2	0	97	179	419	4847	1730115245.161787	2638452	-508	6200	0	0	178
32.83	19.44	-4	0	98	1060	384	4546	1730115245.256794	2630881	-493	6183	0	0	178
0.2	20.25	-1	0	97	157	420	4851	1730115245.261951	2629878	-501	6180	0	0	178
32.2	19.44	-4	0	98	1041	384	4538	1730115245.366911	2621934	-494	6162	0	0	178
-0.4	20.23	-2	0	97	138	419	4850	1730115245.372124	2620956	-488	6159	0	0	178
-1.05	20.23	-1	0	97	118	419	4851	1730115245.467739	2612540	-494	6139	0	0	178
30.77	19.38	3	0	98	1019	388	4613	1730115245.563608	2605502	-510	6123	0	0	178
-1.76	20.14	-2	0	97	99	429	4976	1730115245.565205	2604499	-496	6121	0	0	178
30.01	19.28	-3	0	98	1039	403	4803	1730115245.671965	2596404	-505	6102	0	0	178
-2.49	20.14	-1	0	97	75	418	4848	1730115245.678065	2595406	-505	6099	0	0	178
29.32	19.35	-2	0	98	964	382	4545	1730115245.769659	2588381	-499	6083	0	0	178
-3.15	20.16	-2	0	97	55	423	4910	1730115245.775366	2587399	-497	6080	0	0	178
-3.76	20.23	-2	0	97	36	419	4850	1730115245.861681	2580386	-499	6064	0	0	178
-4.41	20.21	-2	0	97	16	418	4848	1730115245.964267	2571356	-498	6043	0	0	178
27.27	19.38	3	0	98	949	399	4749	1730115246.061295	2564236	-506	6026	0	0	178
-5.13	20.16	-2	0	97	-6	402	4670	1730115246.063242	2563232	-506	6024	0	0	178
-5.78	20.23	-1	0	97	-26	413	4786	1730115246.164287	2556220	-497	6007	0	0	178
-6.45	20.23	-1	0	97	-46	418	4842	1730115246.266313	2546741	-490	5985	0	0	178
-7.08	20.28	-2	0	97	-67	424	4900	1730115246.369751	2537734	-500	5964	0	0	178
-7.75	20.23	-2	0	97	-86	417	4835	1730115246.467335	2530140	-501	5946	0	0	178
-8.44	20.23	-1	0	97	-105	412	4773	1730115246.565532	2521067	-503	5925	0	0	178
-9.11	20.23	-1	0	97	-126	412	4778	1730115246.666955	2513080	-493	5906	0	0	178
-9.7	20.23	-3	0	97	-145	417	4831	1730115246.767429	2505117	-494	5887	0	0	178
21.78	19.42	0	0	98	812	409	4877	1730115246.863369	2497163	-497	5868	0	0	178
-10.33	20.21	-2	0	97	-164	416	4826	1730115246.86499	2496153	-503	5866	0	0	178
-11.04	20.14	-1	0	97	-186	416	4839	1730115246.962661	2489042	-511	5849	0	0	178
-11.74	20.16	0	0	97	-218	438	5094	1730115247.06544	2479941	-502	5828	0	0	178
-12.36	20.14	-1	0	97	-230	423	4926	1730115247.163858	2471967	-493	5809	0	0	178
19.08	19.38	2	0	98	738	412	4919	1730115247.265846	2463624	-497	5790	0	0	178
-12.9	20.14	-1	0	97	-241	413	4815	1730115247.267273	2462635	-488	5787	0	0	178
-13.53	20.05	-1	0	97	-266	422	4938	1730115247.363365	2454636	-494	5768	0	0	178
17.7	19.4	-3	0	98	703	416	4964	1730115247.465425	2446967	-512	5750	0	0	178
-14.24	20.05	-1	0	97	-283	414	4843	1730115247.46996	2445935	-517	5748	0	0	178
-14.7	20.07	-3	0	97	-304	425	4972	1730115247.567624	2437834	-505	5729	0	0	178
-15.52	20.05	-1	0	97	-322	415	4858	1730115247.669169	2429874	-498	5710	0	0	178
-16.08	19.95	-1	0	97	-334	408	4794	1730115247.764907	2421967	-495	5692	0	0	178
15.77	19.35	-1	0	98	650	419	5007	1730115247.766586	2420989	-488	5689	0	0	178
-16.71	19.86	-1	0	97	-359	414	4878	1730115247.86474	2413006	-494	5671	0	0	178
-17.4	19.93	0	0	97	-370	404	4754	1730115247.968171	2404878	-500	5651	0	0	178
-18.09	19.93	-3	0	97	-394	408	4803	1730115248.069611	2396661	-501	5632	0	0	178
46.09	20.56	174	0	99	1335	384	4274	1730115248.166638	2388677	-489	5613	0	0	178
-18.7	19.95	-1	0	97	-415	411	4833	1730115248.171602	2387687	-496	5611	0	0	178
-19.05	19.88	-3	0	97	-426	410	4838	1730115248.268084	2379277	-490	5591	0	0	178
12.06	19.26	-1	0	98	547	426	5121	1730115248.368763	2371341	-507	5573	0	0	178
44.4	20.51	174	0	99	1233	365	4083	1730115248.464284	2363761	-510	5555	0	0	178
-20.31	19.77	-1	0	97	-451	398	4715	1730115248.468283	2362743	-503	5552	0	0	178
-21.04	19.86	-1	0	97	-474	400	4727	1730115248.568086	2354585	-504	5533	0	0	178
43.01	20.58	175	0	99	1212	369	4126	1730115248.668172	2346622	-491	5515	0	0	178
9.95	19.35	-1	0	98	480	429	5131	1730115248.668972	2345637	-499	5512	0	0	178
-22.27	19.95	0	0	97	-507	400	4708	1730115248.759701	2338718	-490	5496	0	0	178
-22.86	19.88	-4	0	97	-532	405	4783	1730115248.859956	2330812	-492	5477	0	0	178
8.02	19.44	-2	0	98	410	421	5026	1730115248.961914	2321752	-507	5456	0	0	178
7.27	19.44	0	0	98	386	422	5031	1730115249.075815	2312655	-502	5435	0	0	178
-24.93	20.09	1	0	97	-590	407	4766	1730115249.187356	2303636	-500	5414	0	0	178
-25.49	20.12	-1	0	97	-575	387	4527	1730115249.282754	2295215	-499	5394	0	0	178
38.29	20.81	174	0	99	1136	383	4276	1730115249.373709	2288276	-497	5377	0	0	178
-26.13	20.02	1	0	97	-614	399	4687	1730115249.378906	2287289	-496	5375	0	0	178
37.54	20.83	175	0	99	1127	387	4313	1730115249.483679	2278731	-501	5355	0	0	178
-26.86	20.05	0	0	97	-621	391	4593	1730115249.488857	2277712	-510	5353	0	0	178
36.81	20.93	175	0	99	1138	398	4430	1730115249.563623	2271695	-501	5338	0	0	178
-27.55	20.14	0	0	97	-645	395	4627	1730115249.569006	2270698	-494	5336	0	0	178
36.12	21.0	174	0	99	1091	389	4316	1730115249.665489	2263717	-505	5320	0	0	178
3.18	19.77	-2	0	98	258	428	5041	1730115249.667267	2262723	-490	5317	0	0	178
2.5	19.72	0	0	98	236	428	5046	1730115249.775875	2254728	-491	5299	0	0	178
-29.54	20.23	0	0	97	-708	401	4684	1730115249.856363	2246708	-494	5280	0	0	178
34.05	21.02	175	0	99	1055	395	4386	1730115249.961676	2238724	-498	5261	0	0	178
-30.2	20.3	1	0	97	-723	401	4665	1730115249.966994	2237724	-502	5259	0	0	178
33.31	21.09	174	0	99	1023	391	4333	1730115250.063424	2230720	-493	5242	0	0	178
-30.91	20.32	0	0	97	-731	395	4592	1730115250.065681	2229722	-500	5240	0	0	178
32.62	21.25	175	0	99	1013	396	4369	1730115250.166877	2221731	-505	5221	0	0	178
-31.56	20.42	0	0	97	-765	405	4690	1730115250.171073	2220728	-497	5219	0	0	178
-0.91	19.93	-1	0	98	128	431	5042	1730115250.270345	2213704	-507	5202	0	0	178
-32.89	20.49	1	0	97	-786	398	4597	1730115250.365503	2205166	-499	5182	0	0	178
-33.59	20.51	0	0	97	-804	398	4592	1730115250.467234	2196706	-487	5162	0	0	178
-34.38	20.65	0	0	97	-830	402	4621	1730115250.560379	2188756	-493	5144	0	0	178
-34.99	20.67	1	0	97	-852	405	4653	1730115250.665323	2179786	-504	5122	0	0	178
-35.66	20.69	1	0	97	-863	402	4616	1730115250.763435	2171707	-509	5104	0	0	178
-36.32	20.69	0	0	97	-878	401	4604	1730115250.86442	2163594	-507	5084	0	0	178
26.94	21.34	174	0	99	901	413	4555	1730115250.975195	2154576	-487	5063	0	0	178
-6.35	20.14	-1	0	98	-46	444	5156	1730115251.080115	2145643	-500	5042	0	0	178
-7.02	20.14	-1	0	98	-67	437	5080	1730115251.178004	2137692	-504	5024	0	0	178
-7.72	20.14	-1	0	98	-90	437	5086	1730115251.277049	2129584	-512	5005	0	0	178
-8.48	20.12	0	0	98	-113	436	5076	1730115251.378167	2120052	-506	4982	0	0	178
-9.15	20.23	-1	0	98	-135	438	5074	1730115251.47802	2112564	-488	4965	0	0	178
22.73	21.53	174	0	99	791	419	4589	1730115251.579362	2103646	-502	4944	0	0	178
-10.4	20.23	-1	0	98	-175	439	5085	1730115251.675398	2095703	-504	4925	0	0	178
21.39	21.3	-180	0	99	731	402	4450	1730115251.776303	2087594	-512	4906	0	0	178
20.65	21.3	176	0	99	713	404	4465	1730115251.877052	2079530	-505	4887	0	0	178
19.96	21.48	176	0	99	710	416	4565	1730115251.982364	2070490	-495	4866	0	0	178
-13.14	20.49	0	0	98	-259	438	5030	1730115252.068891	2063568	-496	4849	0	0	178
