timestamp	value
2025:04:30 15:37:07.811	aprilTagOn parsing; false
2025:04:30 15:38:58.806	V12;0
2025:04:30 15:38:59.283	aprilTagOn parsing; false
2025:04:30 15:38:59.973	svrIP Changed ; 172.30.1.6
2025:04:30 15:39:03.807	2;_run_code;<module>;SetCurrentNodeE2009A3030033AF000000043
2025:04:30 15:39:04.050	TTS OK ; 10,10,2 노드가 현재 위치 입니다
2025:04:30 15:39:04.162	모터명령어;_run_code;<module>;StopAllMotors;SendCMD_Device
2025:04:30 15:39:04.332	"[{""MBID""; ""15"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""6"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""13"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""27"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""10"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""9"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""11"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}, {""MBID""; ""31"", ""CMD""; ""WSTOP"", ""DECC""; ""50""}] from callbackCmd - SendCMD"
2025:04:30 15:39:31.874	1;_invoke_callback;callbackBLB_CMD;AppendTableList
2025:04:30 15:39:32.116	1;_run_module_code;_run_code;<module>;GenerateServingTableList;SetTableTarget
2025:04:30 15:39:32.525	aprilTagOn parsing; false
2025:04:30 15:39:32.979	start_serving;GenerateServingTableList;trigger_start_serving;trigger_event
2025:04:30 15:39:35.047	모터명령어;_run_code;<module>;RunListBlbMotorsEx;SendCMD_Device
2025:04:30 15:39:35.214	"[{""MBID""; ""6"", ""CMD""; ""WMOVE"", ""MODE""; ""1"", ""POS""; ""0"", ""SPD""; ""800"", ""ACC""; ""1000"", ""DECC""; ""1000"", ""TIME""; 8.1}] from callbackCmd - SendCMD"
2025:04:30 15:39:42.682	SHAKE_MBID;6,평균;3.922,최소;1.01,최대;15.14
