nodeid	x	y	AngleZ	distanceH
1	0.0	-0.005	1	-0.005
2	0.0	0.016999999999999998	1	0.017
3	0.007	0.122	4	0.122
4	0.016	0.23099999999999998	5	0.231
5	0.028999999999999998	0.375	5	0.376
6	0.048	0.5529999999999999	6	0.555
7	0.09	0.8979999999999999	7	0.903
8	0.118	1.165	6	1.171
9	0.143	1.455	5	1.462
10	0.16099999999999998	1.792	3	1.799
11	0.19999999999999998	2.357	4	2.365
12	0.19399999999999998	2.685	-1	2.693
13	0.14599999999999996	2.985	-9	2.997
14	0.10499999999999995	3.28	-8	3.295
15	0.06099999999999996	3.695	-6	3.712
16	0.035999999999999956	3.9349999999999996	-6	3.953
17	0.008999999999999956	4.151	-7	4.171
18	-0.022000000000000044	4.35	-9	4.372
19	-0.06000000000000004	4.622999999999999	-8	4.648
20	-0.08800000000000004	4.768999999999999	-11	4.797
21	-0.11700000000000003	4.895	-13	4.926
22	-0.14000000000000004	4.9959999999999996	-13	5.03
23	-0.17300000000000004	5.119999999999999	-15	5.158
24	-0.18700000000000006	5.172999999999999	-15	5.213
25	-0.19600000000000006	5.2059999999999995	-16	5.247
26	-0.20000000000000007	5.217999999999999	-16	5.26
27	-0.19100000000000006	5.184999999999999	-15	5.226
28	-0.17400000000000004	5.121999999999999	-15	5.161
29	-0.14900000000000005	5.026999999999999	-15	5.063
30	-0.11900000000000005	4.896999999999999	-13	4.93
31	-0.06300000000000006	4.632999999999999	-12	4.66
32	-0.017000000000000057	4.417999999999999	-12	4.44
33	0.030999999999999944	4.1739999999999995	-11	4.191
34	0.07099999999999995	3.8909999999999996	-8	3.905
35	0.12399999999999994	3.3899999999999997	-6	3.401
36	0.16899999999999993	3.0269999999999997	-7	3.035
37	0.19299999999999992	2.687	-4	2.694
38	0.22599999999999992	2.3729999999999998	-6	2.378
39	0.22599999999999992	1.9069999999999998	0	1.912
40	0.20799999999999993	1.6429999999999998	4	1.647
41	0.20399999999999993	1.3929999999999998	1	1.397
42	0.17299999999999993	1.1699999999999997	8	1.172
43	0.13999999999999993	0.8559999999999997	6	0.856
44	0.12099999999999993	0.6799999999999997	6	0.679
45	0.09599999999999992	0.5229999999999997	9	0.52
46	0.08399999999999992	0.3879999999999997	5	0.384
47	0.06599999999999992	0.21899999999999967	6	0.214
48	0.05999999999999992	0.13699999999999968	4	0.132
49	0.05699999999999992	0.07299999999999968	3	0.068
50	0.05499999999999992	0.030999999999999674	3	0.026
