start	end	distance	speed	direction	nodetype	railtype	st_xval	st_yval	et_xval	et_yval
1	2	1000	500	E	H	N	-7678	0	-6678	0
2	6	1000	500	E	P	N	-6678	0	-5678	0
2	1	1000	500	W	P	N	-6678	0	-7678	0
3	4	1100	500	E	N	N	-1600	0	-500	0
3	9	1000	500	W	N	N	-1600	0	-2600	0
4	10	500	500	E	NR	N	-500	0	0	0
4	3	1100	500	W	N	N	-500	0	-1600	0
5	10	500	500	N	NR	N	0	-500	0	0
6	2	1000	500	W	N	N	-5678	0	-6678	0
6	7	1078	500	E	N	N	-5678	0	-4600	0
7	8	1000	500	E	N	N	-4600	0	-3600	0
7	6	1078	500	W	N	N	-4600	0	-5678	0
8	9	1000	500	E	N	N	-3600	0	-2600	0
8	7	1000	500	W	N	N	-3600	0	-4600	0
9	8	1000	500	W	N	N	-2600	0	-3600	0
9	3	1000	500	E	N	N	-2600	0	-1600	0
10	5	500	500	S	R	N	0	0	0	-500
10	4	500	500	W	R	N	0	0	-500	0
