start	end	distance	speed	direction	nodetype	railtype	st_xval	st_yval	et_xval	et_yval
1	2	1000	500	N	H	N	1286	-4532	1286	-3532
2	1	1000	500	S	P	N	1286	-3532	1286	-4532
2	3	2000	500	N	P	ES	1286	-3532	0	-2000
3	10	2000	500	N	NR	N	0	-2000	0	0
3	2	2000	500	S	N	LS	0	-2000	1286	-3532
4	46	200	500	E	N	N	-7300	0	-7100	0
5	77	200	500	W	N	N	7300	0	7100	0
6	100	200	500	E	N	N	-5700	7000	-5500	7000
7	123	200	500	W	N	N	5700	7000	5500	7000
8	10	2500	500	S	NR	N	0	2500	0	0
8	9	3000	500	N	N	N	0	2500	0	5500
9	8	3000	500	S	N	N	0	5500	0	2500
9	11	1500	500	N	NR	N	0	5500	0	7000
10	3	2000	500	S	R	N	0	0	0	-2000
10	12	900	500	W	R	N	0	0	-900	0
10	13	900	500	E	R	N	0	0	900	0
10	8	2500	500	N	R	N	0	0	0	2500
11	15	900	500	E	R	N	0	7000	900	7000
11	9	1500	500	S	R	N	0	7000	0	5500
11	14	900	500	W	R	N	0	7000	-900	7000
12	10	900	500	E	NR	N	-900	0	0	0
12	16	200	500	W	N	N	-900	0	-1100	0
13	10	900	500	W	NR	N	900	0	0	0
13	47	200	500	E	N	N	900	0	1100	0
14	11	900	500	E	NR	N	-900	7000	0	7000
14	78	200	500	W	N	N	-900	7000	-1100	7000
15	11	900	500	W	NR	N	900	7000	0	7000
15	101	200	500	E	N	N	900	7000	1100	7000
16	17	200	500	W	N	N	-1100	0	-1300	0
16	12	200	500	E	N	N	-1100	0	-900	0
17	16	200	500	E	N	N	-1300	0	-1100	0
17	18	200	500	W	N	N	-1300	0	-1500	0
18	19	200	500	W	N	N	-1500	0	-1700	0
18	17	200	500	E	N	N	-1500	0	-1300	0
19	20	200	500	W	N	N	-1700	0	-1900	0
19	18	200	500	E	N	N	-1700	0	-1500	0
20	19	200	500	E	N	N	-1900	0	-1700	0
20	21	200	500	W	N	N	-1900	0	-2100	0
21	22	200	500	W	N	N	-2100	0	-2300	0
21	20	200	500	E	N	N	-2100	0	-1900	0
22	21	200	500	E	N	N	-2300	0	-2100	0
22	23	200	500	W	N	N	-2300	0	-2500	0
23	24	200	500	W	N	N	-2500	0	-2700	0
23	22	200	500	E	N	N	-2500	0	-2300	0
24	23	200	500	E	N	N	-2700	0	-2500	0
24	25	200	500	W	N	N	-2700	0	-2900	0
25	26	200	500	W	N	N	-2900	0	-3100	0
25	24	200	500	E	N	N	-2900	0	-2700	0
26	27	200	500	W	N	N	-3100	0	-3300	0
26	25	200	500	E	N	N	-3100	0	-2900	0
27	28	200	500	W	N	N	-3300	0	-3500	0
27	26	200	500	E	N	N	-3300	0	-3100	0
28	29	200	500	W	N	N	-3500	0	-3700	0
28	27	200	500	E	N	N	-3500	0	-3300	0
29	30	200	500	W	N	N	-3700	0	-3900	0
29	28	200	500	E	N	N	-3700	0	-3500	0
30	31	200	500	W	N	N	-3900	0	-4100	0
30	29	200	500	E	N	N	-3900	0	-3700	0
31	30	200	500	E	N	N	-4100	0	-3900	0
31	32	200	500	W	N	N	-4100	0	-4300	0
32	33	200	500	W	N	N	-4300	0	-4500	0
32	31	200	500	E	N	N	-4300	0	-4100	0
33	32	200	500	E	N	N	-4500	0	-4300	0
33	34	200	500	W	N	N	-4500	0	-4700	0
34	35	200	500	W	N	N	-4700	0	-4900	0
34	33	200	500	E	N	N	-4700	0	-4500	0
35	34	200	500	E	N	N	-4900	0	-4700	0
35	36	200	500	W	N	N	-4900	0	-5100	0
36	35	200	500	E	N	N	-5100	0	-4900	0
36	37	200	500	W	N	N	-5100	0	-5300	0
37	38	200	500	W	N	N	-5300	0	-5500	0
37	36	200	500	E	N	N	-5300	0	-5100	0
38	37	200	500	E	N	N	-5500	0	-5300	0
38	39	200	500	W	N	N	-5500	0	-5700	0
39	40	200	500	W	N	N	-5700	0	-5900	0
39	38	200	500	E	N	N	-5700	0	-5500	0
40	41	200	500	W	N	N	-5900	0	-6100	0
40	39	200	500	E	N	N	-5900	0	-5700	0
41	40	200	500	E	N	N	-6100	0	-5900	0
41	42	200	500	W	N	N	-6100	0	-6300	0
42	43	200	500	W	N	N	-6300	0	-6500	0
42	41	200	500	E	N	N	-6300	0	-6100	0
43	44	200	500	W	N	N	-6500	0	-6700	0
43	42	200	500	E	N	N	-6500	0	-6300	0
44	43	200	500	E	N	N	-6700	0	-6500	0
44	45	200	500	W	N	N	-6700	0	-6900	0
45	46	200	500	W	N	N	-6900	0	-7100	0
45	44	200	500	E	N	N	-6900	0	-6700	0
46	4	200	500	W	N	N	-7100	0	-7300	0
46	45	200	500	E	N	N	-7100	0	-6900	0
47	13	200	500	W	N	N	1100	0	900	0
47	48	200	500	E	N	N	1100	0	1300	0
48	47	200	500	W	N	N	1300	0	1100	0
48	49	200	500	E	N	N	1300	0	1500	0
49	50	200	500	E	N	N	1500	0	1700	0
49	48	200	500	W	N	N	1500	0	1300	0
50	51	200	500	E	N	N	1700	0	1900	0
50	49	200	500	W	N	N	1700	0	1500	0
51	50	200	500	W	N	N	1900	0	1700	0
51	52	200	500	E	N	N	1900	0	2100	0
52	51	200	500	W	N	N	2100	0	1900	0
52	53	200	500	E	N	N	2100	0	2300	0
53	52	200	500	W	N	N	2300	0	2100	0
53	54	200	500	E	N	N	2300	0	2500	0
54	53	200	500	W	N	N	2500	0	2300	0
54	55	200	500	E	N	N	2500	0	2700	0
55	56	200	500	E	N	N	2700	0	2900	0
55	54	200	500	W	N	N	2700	0	2500	0
56	55	200	500	W	N	N	2900	0	2700	0
56	57	200	500	E	N	N	2900	0	3100	0
57	56	200	500	W	N	N	3100	0	2900	0
57	58	200	500	E	N	N	3100	0	3300	0
58	57	200	500	W	N	N	3300	0	3100	0
58	59	200	500	E	N	N	3300	0	3500	0
59	58	200	500	W	N	N	3500	0	3300	0
59	60	200	500	E	N	N	3500	0	3700	0
60	61	200	500	E	N	N	3700	0	3900	0
60	59	200	500	W	N	N	3700	0	3500	0
61	60	200	500	W	N	N	3900	0	3700	0
61	62	200	500	E	N	N	3900	0	4100	0
62	63	200	500	E	N	N	4100	0	4300	0
62	61	200	500	W	N	N	4100	0	3900	0
63	62	200	500	W	N	N	4300	0	4100	0
63	64	200	500	E	N	N	4300	0	4500	0
64	65	200	500	E	N	N	4500	0	4700	0
64	63	200	500	W	N	N	4500	0	4300	0
65	64	200	500	W	N	N	4700	0	4500	0
65	66	200	500	E	N	N	4700	0	4900	0
66	65	200	500	W	N	N	4900	0	4700	0
66	67	200	500	E	N	N	4900	0	5100	0
67	66	200	500	W	N	N	5100	0	4900	0
67	68	200	500	E	N	N	5100	0	5300	0
68	69	200	500	E	N	N	5300	0	5500	0
68	67	200	500	W	N	N	5300	0	5100	0
69	70	200	500	E	N	N	5500	0	5700	0
69	68	200	500	W	N	N	5500	0	5300	0
70	71	200	500	E	N	N	5700	0	5900	0
70	69	200	500	W	N	N	5700	0	5500	0
71	72	200	500	E	N	N	5900	0	6100	0
71	70	200	500	W	N	N	5900	0	5700	0
72	71	200	500	W	N	N	6100	0	5900	0
72	73	200	500	E	N	N	6100	0	6300	0
73	72	200	500	W	N	N	6300	0	6100	0
73	74	200	500	E	N	N	6300	0	6500	0
74	73	200	500	W	N	N	6500	0	6300	0
74	75	200	500	E	N	N	6500	0	6700	0
75	76	200	500	E	N	N	6700	0	6900	0
75	74	200	500	W	N	N	6700	0	6500	0
76	77	200	500	E	N	N	6900	0	7100	0
