taskid	mastercode	detailcode	simulayoutcd	startnode	endnode	direction	distance	nodetype	tasktype	ordertype	orderstatus	workstatus	comments	iconxval	iconyval	linexval	lineyval
0	250601105958241	250601105958241	1001	15	14	W	3356		5	1	1	1		14335.00	0.00	10979.00	0.00
0	250601105958241	250601105958247	1001	14	21	W	124		5	1	1	1		10979.00	0.00	10855.00	0.00
0	250601105958241	250601105958250	1001	21	13	W	2471		5	1	1	1		10855.00	0.00	8384.00	0.00
0	250601105958241	250601105958254	1001	13	20	W	49		5	1	1	1		8384.00	0.00	8335.00	0.00
0	250601105958241	250601105958258	1001	20	12	W	1804		5	1	1	1		8335.00	0.00	6531.00	0.00
0	250601105958241	250601105958263	1001	12	9	W	589		5	1	1	1		6531.00	0.00	5942.00	0.00
0	250601105958241	250601105958266	1001	9	8	W	2660		5	1	1	1		5942.00	0.00	3282.00	0.00
0	250601105958241	250601105958271	1001	8	6	W	87		5	1	1	1		3282.00	0.00	3195.00	0.00
0	250601105958241	250601105958275	1001	6	5	W	474		5	1	1	1		3195.00	0.00	2721.00	0.00
0	250601105958241	250601105958279	1001	5	17	W	1847		5	1	1	1		2721.00	0.00	874.00	0.00
0	250601105958241	250601105958283	1001	17	4	W	576		5	1	1	1		874.00	0.00	298.00	0.00
0	250601105958241	250601105958287	1001	4	10	W	298		5	1	1	1		298.00	0.00	0.00	0.00
0	250601105958241	250601105958291	1001	10	3	S	700		5	1	1	1		0.00	0.00	0.00	-700.00
0	250601105958241	250601105958295	1001	3	2	S	700		5	1	1	1		0.00	-700.00	0.00	-1400.00
0	250601105958241	250601105958299	1001	2	1	S	400		5	1	1	1		0.00	-1400.00	0.00	-1800.00
0	250601105958241	250601105958303	1001	1	H1	E	0		5	1	1	1		0.00	-1800.00	0.00	-1800.00
