NODE_ID	POS	POS2	EPC
37	-13133816	12503679	NOTAG,R_START,B_END
38	-11425631	14165494	NOTAG,R_END
24	-10826581	14755260	NOTAG
23	-10187950	15382339	NOTAG
22	-9689609	15877444	NOTAG
20	-8686334	16750265	NOTAG,R_START
19	-8254576	17182849	NOTAG
42	-8101329	17408671	NOTAG,B_START
43	-7951329	17648671	NOTAG,B_END
15	-6620000	18824534	NOTAG,R_END
14	-5168416	20261933	NOTAG
6	-4443210	20977345	NOTAG,R_START
13	-3985639	21424108	NOTAG,R_START
12	-3175579	22222283	NOTAG
11	-2816437	22574990	NOTAG
16	-2486000	23692512	NOTAG
9	-1667940	24093512	NOTAG,R_END
5	-1266959	24886346	NOTAG,R_END
8	-467408	25662872	NOTAG
1	0	25600000	NOTAG,HOME
2	253630	25853630	NONE
21	312454	25912454	NOTAG,R_START
3	602830	26202830	NONE
4	875000	26475000	NONE
10	1030000	26630000	NOTAG,CROSS
7	1125000	26725000	NONE
17	1697600	-24028708	NOTAG,B_START
47	1873214	-23726786	NOTAG,B_START
46	2083369	-23516631	NOTAG,B_END
18	2479622	-23235956	NOTAG,B_END
25	3157862	-22561373	NOTAG
26	3782684	-21928542	NOTAG
27	4225517	-21483451	NOTAG
28	5050935	-20653554	NOTAG
29	5553023	-20144547	NOTAG
45	6267555	-19332445	NOTAG,B_START
44	6295535	-19304465	NOTAG,B_END
32	6764534	32364534	NONE
30	6942267	-18740701	NOTAG,R_END
31	7120000	32720000	NONE
33	8335784	-17317701	NOTAG,R_START
34	8666701	-17011396	NOTAG,R_START
41	9457071	-16200785	NOTAG
40	9751578	-15909041	NOTAG
35	10022183	-15635047	NOTAG
39	10815500	-14836128	NOTAG,R_END
36	11113526	-14526624	NOTAG,R_END,B_START
