TABLE_ID	NODE_ID	SERVING_DISTANCE	SERVING_ANGLE	MARKER_ANGLE	HEIGHT_LIFT	MARKER_VALUE	CROP_X	CROP_Y
P1	2	0	0	0	0	2	0	0
H1	1	1200	227	0	880000	1	0	0
141	12	1280	246	155	660000	141	180	141
140	12	1200	286	195	660000	140	181	133
139	11	1245	289	199	660000	139	196	148
138	16	1251	295	209	660000	138	60	114
137	2	0	0	0	0	2	0	0
136	9	902	250	250	660000	136	180	188
135	9	288	179	178	660000	135	160	190
134	9	847	107	109	660000	134	167	180
133	11	780	75	348	660000	133	163	185
132	12	819	82	354	660000	132	141	166
131	13	526	43	223	660000	131	185	185
130	13	640	305	125	660000	130	175	175
129	13	1260	279	98	660000	129	184	140
128	14	1250	285	286	660000	128	166	190
127	14	479	299	302	660000	127	170	210
126	14	554	41	44	660000	126	173	154
125	14	1255	75	77	660000	125	161	181
124	2	0	0	0	0	2	0	0
123	8	820	112	289	660000	123	179	173
122	8	320	198	19	660000	122	144	167
121	8	948	255	75	660000	121	185	184
120	8	906	290	289	660000	120	160	188
119	8	338	351	356	660000	119	180	160
118	8	851	69	66	660000	118	160	172
117	2	0	0	0	0	2	0	0
116	14	1217	100	282	660000	116	177	204
115	14	381	121	302	660000	115	170	197
114	14	483	240	63	660000	114	191	184
113	14	1245	263	81	660000	113	183	210
112	15	1250	285	285	660000	112	174	178
111	15	555	312	314	660000	111	185	179
110	15	488	51	53	660000	110	164	185
109	15	1275	75	77	660000	109	164	180
108	2	0	0	0	0	2	0	0
107	4	750	92	274	660000	107	177	171
106	3	904	19	290	660000	106	156	189
105	3	270	87	357	660000	105	165	185
104	3	320	285	13	660000	104	217	171
103	3	915	342	70	660000	103	156	110
102	7	786	86	83	660000	102	165	180
101	2	0	0	0	0	2	0	0
100	15	1217	103	286	660000	100	166	189
99	15	470	123	304	660000	99	189	184
98	15	483	240	63	660000	98	165	192
97	15	1273	258	77	660000	97	167	186
96	19	1004	282	282	660000	96	80	220
95	19	246	318	318	660000	95	184	161
94	19	680	78	78	660000	94	167	181
93	18	920	109	277	660000	93	170	130
92	2	0	0	0	0	2	0	0
91	20	300	0	90	660000	91	180	160
90	20	480	180	270	660000	90	160	160
89	22	600	0	90	660000	89	200	160
88	24	900	0	89	660000	88	185	171
87	24	130	290	22	660000	87	173	120
86	24	830	174	265	660000	86	212	205
85	24	1021	140	47	660000	85	214	170
84	24	648	87	358	660000	84	178	176
83	24	1087	38	310	660000	83	150	150
82	22	850	48	317	660000	82	0	0
81	20	868	128	37	660000	81	0	0
80	20	723	68	340	660000	80	0	0
79	18	1050	307	208	660000	79	0	0
78	25	760	266	173	660000	78	0	0
77	25	1099	315	225	660000	77	188	164
76	27	1040	305	216	660000	76	0	0
75	28	963	243	155	660000	75	127	190
74	28	963	297	210	660000	74	0	0
73	29	832	264	275	660000	73	0	0
72	29	214	354	6	660000	72	0	0
71	29	937	62	75	660000	71	0	0
70	38	685	110	292	660000	70	170	194
69	38	304	221	37	660000	69	0	0
68	38	1140	250	73	660000	68	0	0
67	37	885	289	292	660000	67	0	0
66	37	498	14	12	660000	66	138	120
65	37	1210	61	0	660000	65	0	0
64	32	1350	90	273	660000	64	0	0
63	30	560	116	294	660000	63	0	0
62	30	381	37	37	660000	62	0	0
61	30	1175	287	287	660000	61	160	197
60	30	381	323	321	660000	60	120	187
59	30	740	49	45	660000	59	207	162
58	31	1360	90	90	660000	58	0	0
57	37	1250	97	278	660000	57	0	0
56	37	400	118	299	660000	56	141	197
55	37	461	244	63	660000	55	0	0
54	37	1210	259	82	660000	54	158	180
53	36	1180	278	278	660000	53	120	137
52	36	377	290	293	660000	52	140	200
51	36	540	55	52	660000	51	0	0
50	36	1270	79	77	660000	50	160	150
49	33	1360	90	270	660000	49	0	0
48	33	550	90	270	660000	48	0	0
47	33	250	270	90	660000	47	0	0
46	33	1080	270	90	660000	46	0	0
45	2	0	0	0	0	2	0	0
44	39	1346	198	196	660000	44	0	0
43	35	670	0	270	660000	43	0	0
42	35	180	180	90	660000	42	0	0
41	41	300	0	270	660000	41	0	0
40	41	575	180	90	660000	40	147	145
39	41	1400	180	90	660000	39	147	145
38	2	0	0	0	0	2	0	0
