TABLE_ID	NODE_ID	SERVING_DISTANCE	SERVING_ANGLE	MARKER_ANGLE
1	3	300	225	270
73	5	500	270	90
2	5	1800	270	270
3	5	500	90	270
4	5	1800	90	90
5	6	500	270	90
6	6	1800	270	270
7	6	500	90	270
8	6	1800	90	90
9	7	500	270	90
10	7	1800	270	270
11	7	500	90	270
12	7	1800	90	90
13	8	500	270	90
14	8	1800	270	270
15	8	500	90	270
16	8	1800	90	90
17	9	500	270	90
18	9	1800	270	270
19	9	500	90	270
20	9	1800	90	90
21	10	500	270	90
22	10	1800	270	270
23	10	500	90	270
24	10	1800	90	90
25	11	500	270	90
26	11	1800	270	270
27	11	500	90	270
28	11	1800	90	90
29	12	500	270	90
30	12	1800	270	270
31	12	500	90	270
32	12	1800	90	90
33	13	500	270	90
34	13	1800	270	270
35	13	500	90	270
36	13	1800	90	90
37	14	500	270	90
38	14	1800	270	270
39	14	500	90	270
40	14	1800	90	90
41	15	500	270	90
42	15	1800	270	270
43	15	500	90	270
44	15	1800	90	90
45	16	500	270	90
46	16	1800	270	270
47	16	500	90	270
48	16	1800	90	90
49	17	500	270	90
50	17	1800	270	270
51	17	500	90	270
52	17	1800	90	90
53	18	500	270	90
54	18	1800	270	270
55	18	500	90	270
56	18	1800	90	90
57	19	500	270	90
58	19	1800	270	270
59	19	500	90	270
60	19	1800	90	90
61	20	500	270	90
62	20	1800	270	270
63	20	500	90	270
64	20	1800	90	90
65	21	500	270	90
66	21	1800	270	270
67	21	500	90	270
68	21	1800	90	90
69	22	500	270	90
70	22	1800	270	270
71	22	500	90	270
72	22	1800	90	90
H1	1	0	0	180
P1	2	0	0	0
