mastercode	endnode	distance	END_TIME	START_TIME	WEIGHT
250529103808390	T104	1100	1748525959.0	1748525890.0	1583
250529103935092	H1	1100	1748526031.0	1748525977.0	0
250529104447345	T136	8093	1748526341.0	1748526289.0	2743
250529111548549	H1	8093	1748528254.0	1748528150.0	0
250529111812006	T138	10038	1748528419.0	1748528294.0	851
250529112022133	H1	10038	1748528523.0	1748528424.0	0
250529112321460	T123	5273	1748528710.0	1748528603.0	0
250529112512990	H1	5273	1748528810.0	1748528715.0	2124
250529113159343	T105	1100	1748529208.0	1748529121.0	1030
250529113330296	H1	1100	1748529263.0	1748529212.0	0
250530020739747	T104	1100	1748581749.32432	1748581661.419141	446
250530020912804	H1	1100	1748581818.077408	1748581754.483769	592
250530030010597	T97	19805	1748585270.074278	1748584854.653159	485
250530030753139	T111	0	1748585371.427475	1748585371.427475	493
250530030934922	T97	0	1748585518.345925	1748585518.345925	19
250530031202479	T111	0	1748585609.413913	1748585609.413913	9
250530031332622	T97	0	1748585691.29776	1748585691.29776	7
250530031454431	T98	0	1748586069.128153	1748586069.128153	1
250530032112556	T112	0	1748586231.475586	1748586231.475586	6
250530032355250	T109	0	1748586309.810543	1748586309.810543	7
250530033305405	H1	19805	1748586930.619759	1748586787.088801	1
250530033947827	T107	2122	1748587339.439626	1748587189.528095	3
250530034222337	H1	2122	1748587435.630201	1748587343.974611	9
250530035412077	T107	322	1748588119.91049	1748588053.613658	5
250530035535610	H1	2122	1748588225.730189	1748588137.172172	3
250530044317428	T128	16367	1748591144.055909	1748590999.006466	1006
250530044547812	H1	16367	1748591255.143302	1748591149.185479	27
250530063616869	T104	1100	1748597820.739205	1748597778.294991	13
250530064024186	H1	1100	1748598062.293281	1748598025.57242	12
250530064756885	T129	13597	1748598642.51229	1748598478.488297	987
250530065045232	H1	13597	1748598745.94943	1748598646.675508	12
250530084238565	T118	5273	1748605474.245977	1748605359.51512	894
